,bin,city,company,summary,title
0,85-100,"Rochester, NY 14624",Paychex,"Explores and gathers external data, including both public and private sectors, to complement internal company data....",Data Scientist II
1,85-100,"Los Angeles, CA 90017",Uptown Treehouse,The Data Scientist will lead the charge in leveraging various data-driven technologies to deliver strategic insight and intelligence that can inform current and...,Data Science Internship
2,85-100,Hawaii,State of Hawaii,"And preparing summaries or reports with data presented in graphic, narrative or numerical form. Modifying and applying research and statistical methods and...",RESEARCH STATISTICIAN IV
3,85-100,Illinois,Intel,"This includes the LAN, WAN, telephony, data centers, client PCs, backup and restore, and enterprise applications. Job Code valid only for Israel....",Data Scientist
4,85-100,"Frederick, MD 21702",Leidos,The Biological Life Sciences Operation of the Health Group is seeking a Biomedical Data Scientist who will perform as a productive member of a team that...,Biomedical Data Scientist
5,85-100,"Miami, FL 33132 (Downtown area)",Royal Caribbean Cruises Ltd.,"In-depth experience in data mining, business intelligence, data analytics, and project management required....",Data Scientist
6,85-100,"Reston, VA","Apogee Integration, LLC","Apogee Integration is seeking a Data Scientist to work in Chantilly, VA:. Bachelor of Science in Mathematics, Statistics, or related field....",Jr Data Scientist
7,85-100,"South San Francisco, CA 94080",Incedo,Statistics and Data Science knowledge. Must needed exo in below skills and technology:....,Data Scientist
8,85-100,"Irvine, CA",BSI Financial Services,"Experience in data modeling, data mining, data cleansing, and statistical techniques. Working knowledge of data warehouse environments....",Data Scientist/Statistician
9,85-100,"Los Angeles, CA",StyleHaul,"We are looking for a Data Scientist to join the Business Intelligence division of StyleHaul. Apply your expertise in quantitative analysis, data mining, and the...",Data Scientist
10,85-100,"Santa Clara, CA",CA Technologies,We are looking for a talented Data Scientist to join our team. Communicating with scientists as well as engineers....,Data Scientist
11,85-100,"San Francisco, CA",Gameloft,"Job Description Responsibilities: As User Acquisition/Data Analysis Intern, reporting to the Sr User Acquisition Manager, you will focus on marketing actions",User Acquisition/Data Analysis
12,85-100,"Atlanta, GA",Macy's,"D efine data needs, evaluate data quality, and extract/manipulate data in a “Big Data” environment. The Data Scientist develops and executes statistical and...","Data Scientist (Neural Networks/Decision Tree, R, Python)"
13,85-100,United States,IBM Kenexa,"The Data Scientist with Data Implementation specialty is responsible for serving as a first line of triage for any customer-facing issues, and effectively...",Data Scientist Cognitive Computing
14,85-100,"Houston, TX",David Weekley Homes,Proven experience manipulating data sets and combining multiple data sources to produce valuable business insights....,Data Scientist
15,85-100,"Melbourne, FL",Thales,"Data mining using state-of-the-art methods. Experience with data visualisation tools, such as D3.js, GGplot, etc....",Data Scientist
16,85-100,"Englewood, CO",DISH Network,"The Data Scientist role will entail gathering and interpreting business needs, architecting and executing production data science solutions, and managing data...",Data Scientist
17,85-100,"Richfield, MN",U.S. Bank,"Experience in traditional data processing, data mining, and text mining methods. Perform adhoc data exploratory statistical services....",Data Scientist
18,85-100,"Bellevue, WA",Microsoft,Experiences in build and maintaining data pipelines. We are looking for applied scientists who have following required experience:....,Data Scientist II
19,85-100,"Springfield, IL 62715",Horace Mann Service Corp,Under minimal supervision and utilizing established or innovative procedures the incumbent develops and present to management for their approval proposals,Data Scientist
20,85-100,"Santa Clara, CA",CA Technologies,We are looking for a talented Data Scientist to join our team. Communicating with scientists as well as engineers....,Data Scientist
21,85-100,"San Francisco, CA",Gameloft,"Job Description Responsibilities: As User Acquisition/Data Analysis Intern, reporting to the Sr User Acquisition Manager, you will focus on marketing actions",User Acquisition/Data Analysis
22,85-100,"Atlanta, GA",Macy's,"D efine data needs, evaluate data quality, and extract/manipulate data in a “Big Data” environment. The Data Scientist develops and executes statistical and...","Data Scientist (Neural Networks/Decision Tree, R, Python)"
23,85-100,United States,IBM Kenexa,"The Data Scientist with Data Implementation specialty is responsible for serving as a first line of triage for any customer-facing issues, and effectively...",Data Scientist Cognitive Computing
24,85-100,"Houston, TX",David Weekley Homes,Proven experience manipulating data sets and combining multiple data sources to produce valuable business insights....,Data Scientist
25,85-100,"Melbourne, FL",Thales,"Data mining using state-of-the-art methods. Experience with data visualisation tools, such as D3.js, GGplot, etc....",Data Scientist
26,85-100,"Englewood, CO",DISH Network,"The Data Scientist role will entail gathering and interpreting business needs, architecting and executing production data science solutions, and managing data...",Data Scientist
27,85-100,"Richfield, MN",U.S. Bank,"Experience in traditional data processing, data mining, and text mining methods. Perform adhoc data exploratory statistical services....",Data Scientist
28,85-100,"Bellevue, WA",Microsoft,Experiences in build and maintaining data pipelines. We are looking for applied scientists who have following required experience:....,Data Scientist II
29,85-100,"Springfield, IL 62715",Horace Mann Service Corp,Under minimal supervision and utilizing established or innovative procedures the incumbent develops and present to management for their approval proposals,Data Scientist
30,85-100,"Santa Clara, CA",CA Technologies,We are looking for a talented Data Scientist to join our team. Communicating with scientists as well as engineers....,Data Scientist
31,85-100,"San Francisco, CA",Gameloft,"Job Description Responsibilities: As User Acquisition/Data Analysis Intern, reporting to the Sr User Acquisition Manager, you will focus on marketing actions",User Acquisition/Data Analysis
32,85-100,"Atlanta, GA",Macy's,"D efine data needs, evaluate data quality, and extract/manipulate data in a “Big Data” environment. The Data Scientist develops and executes statistical and...","Data Scientist (Neural Networks/Decision Tree, R, Python)"
33,85-100,United States,IBM Kenexa,"The Data Scientist with Data Implementation specialty is responsible for serving as a first line of triage for any customer-facing issues, and effectively...",Data Scientist Cognitive Computing
34,85-100,"Houston, TX",David Weekley Homes,Proven experience manipulating data sets and combining multiple data sources to produce valuable business insights....,Data Scientist
35,85-100,"Melbourne, FL",Thales,"Data mining using state-of-the-art methods. Experience with data visualisation tools, such as D3.js, GGplot, etc....",Data Scientist
36,85-100,"Englewood, CO",DISH Network,"The Data Scientist role will entail gathering and interpreting business needs, architecting and executing production data science solutions, and managing data...",Data Scientist
37,85-100,"Richfield, MN",U.S. Bank,"Experience in traditional data processing, data mining, and text mining methods. Perform adhoc data exploratory statistical services....",Data Scientist
38,85-100,"Bellevue, WA",Microsoft,Experiences in build and maintaining data pipelines. We are looking for applied scientists who have following required experience:....,Data Scientist II
39,85-100,"Springfield, IL 62715",Horace Mann Service Corp,Under minimal supervision and utilizing established or innovative procedures the incumbent develops and present to management for their approval proposals,Data Scientist
40,85-100,"Santa Clara, CA",CA Technologies,We are looking for a talented Data Scientist to join our team. Communicating with scientists as well as engineers....,Data Scientist
41,85-100,"San Francisco, CA",Gameloft,"Job Description Responsibilities: As User Acquisition/Data Analysis Intern, reporting to the Sr User Acquisition Manager, you will focus on marketing actions",User Acquisition/Data Analysis
42,85-100,"Atlanta, GA",Macy's,"D efine data needs, evaluate data quality, and extract/manipulate data in a “Big Data” environment. The Data Scientist develops and executes statistical and...","Data Scientist (Neural Networks/Decision Tree, R, Python)"
43,85-100,United States,IBM Kenexa,"The Data Scientist with Data Implementation specialty is responsible for serving as a first line of triage for any customer-facing issues, and effectively...",Data Scientist Cognitive Computing
44,85-100,"Houston, TX",David Weekley Homes,Proven experience manipulating data sets and combining multiple data sources to produce valuable business insights....,Data Scientist
45,85-100,"Melbourne, FL",Thales,"Data mining using state-of-the-art methods. Experience with data visualisation tools, such as D3.js, GGplot, etc....",Data Scientist
46,85-100,"Englewood, CO",DISH Network,"The Data Scientist role will entail gathering and interpreting business needs, architecting and executing production data science solutions, and managing data...",Data Scientist
47,85-100,"Richfield, MN",U.S. Bank,"Experience in traditional data processing, data mining, and text mining methods. Perform adhoc data exploratory statistical services....",Data Scientist
48,85-100,"Bellevue, WA",Microsoft,Experiences in build and maintaining data pipelines. We are looking for applied scientists who have following required experience:....,Data Scientist II
49,85-100,"Springfield, IL 62715",Horace Mann Service Corp,Under minimal supervision and utilizing established or innovative procedures the incumbent develops and present to management for their approval proposals,Data Scientist
50,85-100,"Santa Clara, CA",CA Technologies,We are looking for a talented Data Scientist to join our team. Communicating with scientists as well as engineers....,Data Scientist
51,85-100,"San Francisco, CA",Gameloft,"Job Description Responsibilities: As User Acquisition/Data Analysis Intern, reporting to the Sr User Acquisition Manager, you will focus on marketing actions",User Acquisition/Data Analysis
52,85-100,"Atlanta, GA",Macy's,"D efine data needs, evaluate data quality, and extract/manipulate data in a “Big Data” environment. The Data Scientist develops and executes statistical and...","Data Scientist (Neural Networks/Decision Tree, R, Python)"
53,85-100,United States,IBM Kenexa,"The Data Scientist with Data Implementation specialty is responsible for serving as a first line of triage for any customer-facing issues, and effectively...",Data Scientist Cognitive Computing
54,85-100,"Houston, TX",David Weekley Homes,Proven experience manipulating data sets and combining multiple data sources to produce valuable business insights....,Data Scientist
55,85-100,"Melbourne, FL",Thales,"Data mining using state-of-the-art methods. Experience with data visualisation tools, such as D3.js, GGplot, etc....",Data Scientist
56,85-100,"Englewood, CO",DISH Network,"The Data Scientist role will entail gathering and interpreting business needs, architecting and executing production data science solutions, and managing data...",Data Scientist
57,85-100,"Richfield, MN",U.S. Bank,"Experience in traditional data processing, data mining, and text mining methods. Perform adhoc data exploratory statistical services....",Data Scientist
58,85-100,"Bellevue, WA",Microsoft,Experiences in build and maintaining data pipelines. We are looking for applied scientists who have following required experience:....,Data Scientist II
59,85-100,"Springfield, IL 62715",Horace Mann Service Corp,Under minimal supervision and utilizing established or innovative procedures the incumbent develops and present to management for their approval proposals,Data Scientist
60,85-100,"Santa Clara, CA",CA Technologies,We are looking for a talented Data Scientist to join our team. Communicating with scientists as well as engineers....,Data Scientist
61,85-100,"San Francisco, CA",Gameloft,"Job Description Responsibilities: As User Acquisition/Data Analysis Intern, reporting to the Sr User Acquisition Manager, you will focus on marketing actions",User Acquisition/Data Analysis
62,85-100,"Atlanta, GA",Macy's,"D efine data needs, evaluate data quality, and extract/manipulate data in a “Big Data” environment. The Data Scientist develops and executes statistical and...","Data Scientist (Neural Networks/Decision Tree, R, Python)"
63,85-100,United States,IBM Kenexa,"The Data Scientist with Data Implementation specialty is responsible for serving as a first line of triage for any customer-facing issues, and effectively...",Data Scientist Cognitive Computing
64,85-100,"Houston, TX",David Weekley Homes,Proven experience manipulating data sets and combining multiple data sources to produce valuable business insights....,Data Scientist
65,85-100,"Melbourne, FL",Thales,"Data mining using state-of-the-art methods. Experience with data visualisation tools, such as D3.js, GGplot, etc....",Data Scientist
66,85-100,"Englewood, CO",DISH Network,"The Data Scientist role will entail gathering and interpreting business needs, architecting and executing production data science solutions, and managing data...",Data Scientist
67,85-100,"Richfield, MN",U.S. Bank,"Experience in traditional data processing, data mining, and text mining methods. Perform adhoc data exploratory statistical services....",Data Scientist
68,85-100,"Bellevue, WA",Microsoft,Experiences in build and maintaining data pipelines. We are looking for applied scientists who have following required experience:....,Data Scientist II
69,85-100,"Springfield, IL 62715",Horace Mann Service Corp,Under minimal supervision and utilizing established or innovative procedures the incumbent develops and present to management for their approval proposals,Data Scientist
70,85-100,"Santa Clara, CA",CA Technologies,We are looking for a talented Data Scientist to join our team. Communicating with scientists as well as engineers....,Data Scientist
71,85-100,"San Francisco, CA",Gameloft,"Job Description Responsibilities: As User Acquisition/Data Analysis Intern, reporting to the Sr User Acquisition Manager, you will focus on marketing actions",User Acquisition/Data Analysis
72,85-100,"Atlanta, GA",Macy's,"D efine data needs, evaluate data quality, and extract/manipulate data in a “Big Data” environment. The Data Scientist develops and executes statistical and...","Data Scientist (Neural Networks/Decision Tree, R, Python)"
73,85-100,United States,IBM Kenexa,"The Data Scientist with Data Implementation specialty is responsible for serving as a first line of triage for any customer-facing issues, and effectively...",Data Scientist Cognitive Computing
74,85-100,"Houston, TX",David Weekley Homes,Proven experience manipulating data sets and combining multiple data sources to produce valuable business insights....,Data Scientist
75,85-100,"Melbourne, FL",Thales,"Data mining using state-of-the-art methods. Experience with data visualisation tools, such as D3.js, GGplot, etc....",Data Scientist
76,85-100,"Englewood, CO",DISH Network,"The Data Scientist role will entail gathering and interpreting business needs, architecting and executing production data science solutions, and managing data...",Data Scientist
77,85-100,"Richfield, MN",U.S. Bank,"Experience in traditional data processing, data mining, and text mining methods. Perform adhoc data exploratory statistical services....",Data Scientist
78,85-100,"Bellevue, WA",Microsoft,Experiences in build and maintaining data pipelines. We are looking for applied scientists who have following required experience:....,Data Scientist II
79,85-100,"Springfield, IL 62715",Horace Mann Service Corp,Under minimal supervision and utilizing established or innovative procedures the incumbent develops and present to management for their approval proposals,Data Scientist
80,85-100,"Santa Clara, CA",CA Technologies,We are looking for a talented Data Scientist to join our team. Communicating with scientists as well as engineers....,Data Scientist
81,85-100,"San Francisco, CA",Gameloft,"Job Description Responsibilities: As User Acquisition/Data Analysis Intern, reporting to the Sr User Acquisition Manager, you will focus on marketing actions",User Acquisition/Data Analysis
82,85-100,"Atlanta, GA",Macy's,"D efine data needs, evaluate data quality, and extract/manipulate data in a “Big Data” environment. The Data Scientist develops and executes statistical and...","Data Scientist (Neural Networks/Decision Tree, R, Python)"
83,85-100,United States,IBM Kenexa,"The Data Scientist with Data Implementation specialty is responsible for serving as a first line of triage for any customer-facing issues, and effectively...",Data Scientist Cognitive Computing
84,85-100,"Houston, TX",David Weekley Homes,Proven experience manipulating data sets and combining multiple data sources to produce valuable business insights....,Data Scientist
85,85-100,"Melbourne, FL",Thales,"Data mining using state-of-the-art methods. Experience with data visualisation tools, such as D3.js, GGplot, etc....",Data Scientist
86,85-100,"Englewood, CO",DISH Network,"The Data Scientist role will entail gathering and interpreting business needs, architecting and executing production data science solutions, and managing data...",Data Scientist
87,85-100,"Richfield, MN",U.S. Bank,"Experience in traditional data processing, data mining, and text mining methods. Perform adhoc data exploratory statistical services....",Data Scientist
88,85-100,"Bellevue, WA",Microsoft,Experiences in build and maintaining data pipelines. We are looking for applied scientists who have following required experience:....,Data Scientist II
89,85-100,"Springfield, IL 62715",Horace Mann Service Corp,Under minimal supervision and utilizing established or innovative procedures the incumbent develops and present to management for their approval proposals,Data Scientist
90,85-100,"Santa Clara, CA",CA Technologies,We are looking for a talented Data Scientist to join our team. Communicating with scientists as well as engineers....,Data Scientist
91,85-100,"San Francisco, CA",Gameloft,"Job Description Responsibilities: As User Acquisition/Data Analysis Intern, reporting to the Sr User Acquisition Manager, you will focus on marketing actions",User Acquisition/Data Analysis
92,85-100,"Atlanta, GA",Macy's,"D efine data needs, evaluate data quality, and extract/manipulate data in a “Big Data” environment. The Data Scientist develops and executes statistical and...","Data Scientist (Neural Networks/Decision Tree, R, Python)"
93,85-100,United States,IBM Kenexa,"The Data Scientist with Data Implementation specialty is responsible for serving as a first line of triage for any customer-facing issues, and effectively...",Data Scientist Cognitive Computing
94,85-100,"Houston, TX",David Weekley Homes,Proven experience manipulating data sets and combining multiple data sources to produce valuable business insights....,Data Scientist
95,85-100,"Melbourne, FL",Thales,"Data mining using state-of-the-art methods. Experience with data visualisation tools, such as D3.js, GGplot, etc....",Data Scientist
96,85-100,"Englewood, CO",DISH Network,"The Data Scientist role will entail gathering and interpreting business needs, architecting and executing production data science solutions, and managing data...",Data Scientist
97,85-100,"Richfield, MN",U.S. Bank,"Experience in traditional data processing, data mining, and text mining methods. Perform adhoc data exploratory statistical services....",Data Scientist
98,85-100,"Bellevue, WA",Microsoft,Experiences in build and maintaining data pipelines. We are looking for applied scientists who have following required experience:....,Data Scientist II
99,85-100,"Springfield, IL 62715",Horace Mann Service Corp,Under minimal supervision and utilizing established or innovative procedures the incumbent develops and present to management for their approval proposals,Data Scientist
100,70-85,"Los Angeles, CA 90017",Uptown Treehouse,The Data Scientist will lead the charge in leveraging various data-driven technologies to deliver strategic insight and intelligence that can inform current and...,Data Science Internship
101,70-85,Hawaii,State of Hawaii,"And preparing summaries or reports with data presented in graphic, narrative or numerical form. Modifying and applying research and statistical methods and...",RESEARCH STATISTICIAN IV
102,70-85,Illinois,Intel,"This includes the LAN, WAN, telephony, data centers, client PCs, backup and restore, and enterprise applications. Job Code valid only for Israel....",Data Scientist
103,70-85,"Frederick, MD 21702",Leidos,The Biological Life Sciences Operation of the Health Group is seeking a Biomedical Data Scientist who will perform as a productive member of a team that...,Biomedical Data Scientist
104,70-85,"South San Francisco, CA 94080",Incedo,Statistics and Data Science knowledge. Must needed exo in below skills and technology:....,Data Scientist
105,70-85,"Irvine, CA",BSI Financial Services,"Experience in data modeling, data mining, data cleansing, and statistical techniques. Working knowledge of data warehouse environments....",Data Scientist/Statistician
106,70-85,"Los Angeles, CA",StyleHaul,"We are looking for a Data Scientist to join the Business Intelligence division of StyleHaul. Apply your expertise in quantitative analysis, data mining, and the...",Data Scientist
107,70-85,"San Francisco, CA",Gameloft,"Job Description Responsibilities: As User Acquisition/Data Analysis Intern, reporting to the Sr User Acquisition Manager, you will focus on marketing actions",User Acquisition/Data Analysis
108,70-85,"Atlanta, GA",Macy's,"D efine data needs, evaluate data quality, and extract/manipulate data in a “Big Data” environment. The Data Scientist develops and executes statistical and...","Data Scientist (Neural Networks/Decision Tree, R, Python)"
109,70-85,"Houston, TX",David Weekley Homes,Proven experience manipulating data sets and combining multiple data sources to produce valuable business insights....,Data Scientist
110,70-85,"Melbourne, FL",Thales,"Data mining using state-of-the-art methods. Experience with data visualisation tools, such as D3.js, GGplot, etc....",Data Scientist
111,70-85,"Bellevue, WA",Microsoft,Experiences in build and maintaining data pipelines. We are looking for applied scientists who have following required experience:....,Data Scientist II
112,70-85,"Springfield, IL 62715",Horace Mann Service Corp,Under minimal supervision and utilizing established or innovative procedures the incumbent develops and present to management for their approval proposals,Data Scientist
113,70-85,"Norwalk, CT",Reed Exhibitions,Conducting advanced data analysis with demonstrated improvement of business. Various sources of data and use advanced analytical techniques to identify....,Associate Statistical Modeler
114,70-85,"Springfield, VA","Ferring Pharmaceuticals, Inc.",Plans data collection; Data collection and methodologies. Adjusts and weighs raw data; And interprets a wide variety of data....,Data Scientist
115,70-85,"Irvine, CA",Appriss,"Access and manipulate data from various data sources such as Netezza, Hadoop, Greenplum, SQL Server, raw files, and SAS....",Data Scientist/Statistician
116,70-85,"Matawan, NJ",iCIMS,"Working closely with the data engineers and scientists, you will have the opportunity to build a strong foundation in translating data analysis into the...",iNSIGHTS Data Science Intern (Summer 2017)
117,70-85,"Wilmington, MA",CHARLES RIVER ENGLISH,"The Data Scientist will participate in strategic business initiatives by researching, analyzing and interpreting data;...",Intern - IT Data Scientist
118,70-85,United States,State Farm,Qualified applicants will understand how to combine the data science skillset with the entrepreneurial mindset to produce insightful data product....,Data Scientist
119,70-85,"San Antonio, TX",CGI," Experience with data modeling.  Bring transparency, understanding, and insight to complex healthcare data....",Data Scientist
120,70-85,"Melbourne, FL",Thales,"Data mining using state-of-the-art methods. Experience with data visualisation tools, such as D3.js, GGplot, etc....",Data Scientist
121,70-85,"Bellevue, WA",Microsoft,Experiences in build and maintaining data pipelines. We are looking for applied scientists who have following required experience:....,Data Scientist II
122,70-85,"Springfield, IL 62715",Horace Mann Service Corp,Under minimal supervision and utilizing established or innovative procedures the incumbent develops and present to management for their approval proposals,Data Scientist
123,70-85,"Norwalk, CT",Reed Exhibitions,Conducting advanced data analysis with demonstrated improvement of business. Various sources of data and use advanced analytical techniques to identify....,Associate Statistical Modeler
124,70-85,"Springfield, VA","Ferring Pharmaceuticals, Inc.",Plans data collection; Data collection and methodologies. Adjusts and weighs raw data; And interprets a wide variety of data....,Data Scientist
125,70-85,"Irvine, CA",Appriss,"Access and manipulate data from various data sources such as Netezza, Hadoop, Greenplum, SQL Server, raw files, and SAS....",Data Scientist/Statistician
126,70-85,"Matawan, NJ",iCIMS,"Working closely with the data engineers and scientists, you will have the opportunity to build a strong foundation in translating data analysis into the...",iNSIGHTS Data Science Intern (Summer 2017)
127,70-85,"Wilmington, MA",CHARLES RIVER ENGLISH,"The Data Scientist will participate in strategic business initiatives by researching, analyzing and interpreting data;...",Intern - IT Data Scientist
128,70-85,United States,State Farm,Qualified applicants will understand how to combine the data science skillset with the entrepreneurial mindset to produce insightful data product....,Data Scientist
129,70-85,"San Antonio, TX",CGI," Experience with data modeling.  Bring transparency, understanding, and insight to complex healthcare data....",Data Scientist
130,70-85,"Los Angeles, CA 90017",Uptown Treehouse,The Data Scientist will lead the charge in leveraging various data-driven technologies to deliver strategic insight and intelligence that can inform current and...,Data Science Internship
131,70-85,Hawaii,State of Hawaii,"And preparing summaries or reports with data presented in graphic, narrative or numerical form. Modifying and applying research and statistical methods and...",RESEARCH STATISTICIAN IV
132,70-85,Illinois,Intel,"This includes the LAN, WAN, telephony, data centers, client PCs, backup and restore, and enterprise applications. Job Code valid only for Israel....",Data Scientist
133,70-85,"Frederick, MD 21702",Leidos,The Biological Life Sciences Operation of the Health Group is seeking a Biomedical Data Scientist who will perform as a productive member of a team that...,Biomedical Data Scientist
134,70-85,"South San Francisco, CA 94080",Incedo,Statistics and Data Science knowledge. Must needed exo in below skills and technology:....,Data Scientist
