,bin,city,company,summary,title
135,70-85,"Irvine, CA",BSI Financial Services,"Experience in data modeling, data mining, data cleansing, and statistical techniques. Working knowledge of data warehouse environments....",Data Scientist/Statistician
136,70-85,"Los Angeles, CA",StyleHaul,"We are looking for a Data Scientist to join the Business Intelligence division of StyleHaul. Apply your expertise in quantitative analysis, data mining, and the...",Data Scientist
137,70-85,"San Francisco, CA",Gameloft,"Job Description Responsibilities: As User Acquisition/Data Analysis Intern, reporting to the Sr User Acquisition Manager, you will focus on marketing actions",User Acquisition/Data Analysis
138,70-85,"Atlanta, GA",Macy's,"D efine data needs, evaluate data quality, and extract/manipulate data in a “Big Data” environment. The Data Scientist develops and executes statistical and...","Data Scientist (Neural Networks/Decision Tree, R, Python)"
139,70-85,"Houston, TX",David Weekley Homes,Proven experience manipulating data sets and combining multiple data sources to produce valuable business insights....,Data Scientist
140,70-85,"Melbourne, FL",Thales,"Data mining using state-of-the-art methods. Experience with data visualisation tools, such as D3.js, GGplot, etc....",Data Scientist
141,70-85,"Bellevue, WA",Microsoft,Experiences in build and maintaining data pipelines. We are looking for applied scientists who have following required experience:....,Data Scientist II
142,70-85,"Springfield, IL 62715",Horace Mann Service Corp,Under minimal supervision and utilizing established or innovative procedures the incumbent develops and present to management for their approval proposals,Data Scientist
143,70-85,"Norwalk, CT",Reed Exhibitions,Conducting advanced data analysis with demonstrated improvement of business. Various sources of data and use advanced analytical techniques to identify....,Associate Statistical Modeler
144,70-85,"Springfield, VA","Ferring Pharmaceuticals, Inc.",Plans data collection; Data collection and methodologies. Adjusts and weighs raw data; And interprets a wide variety of data....,Data Scientist
145,70-85,"Irvine, CA",Appriss,"Access and manipulate data from various data sources such as Netezza, Hadoop, Greenplum, SQL Server, raw files, and SAS....",Data Scientist/Statistician
146,70-85,"Matawan, NJ",iCIMS,"Working closely with the data engineers and scientists, you will have the opportunity to build a strong foundation in translating data analysis into the...",iNSIGHTS Data Science Intern (Summer 2017)
147,70-85,"Wilmington, MA",CHARLES RIVER ENGLISH,"The Data Scientist will participate in strategic business initiatives by researching, analyzing and interpreting data;...",Intern - IT Data Scientist
148,70-85,United States,State Farm,Qualified applicants will understand how to combine the data science skillset with the entrepreneurial mindset to produce insightful data product....,Data Scientist
149,70-85,"San Antonio, TX",CGI," Experience with data modeling.  Bring transparency, understanding, and insight to complex healthcare data....",Data Scientist
150,70-85,"Melbourne, FL",Thales,"Data mining using state-of-the-art methods. Experience with data visualisation tools, such as D3.js, GGplot, etc....",Data Scientist
151,70-85,"Bellevue, WA",Microsoft,Experiences in build and maintaining data pipelines. We are looking for applied scientists who have following required experience:....,Data Scientist II
152,70-85,"Springfield, IL 62715",Horace Mann Service Corp,Under minimal supervision and utilizing established or innovative procedures the incumbent develops and present to management for their approval proposals,Data Scientist
153,70-85,"Norwalk, CT",Reed Exhibitions,Conducting advanced data analysis with demonstrated improvement of business. Various sources of data and use advanced analytical techniques to identify....,Associate Statistical Modeler
154,70-85,"Springfield, VA","Ferring Pharmaceuticals, Inc.",Plans data collection; Data collection and methodologies. Adjusts and weighs raw data; And interprets a wide variety of data....,Data Scientist
155,70-85,"Irvine, CA",Appriss,"Access and manipulate data from various data sources such as Netezza, Hadoop, Greenplum, SQL Server, raw files, and SAS....",Data Scientist/Statistician
156,70-85,"Matawan, NJ",iCIMS,"Working closely with the data engineers and scientists, you will have the opportunity to build a strong foundation in translating data analysis into the...",iNSIGHTS Data Science Intern (Summer 2017)
157,70-85,"Wilmington, MA",CHARLES RIVER ENGLISH,"The Data Scientist will participate in strategic business initiatives by researching, analyzing and interpreting data;...",Intern - IT Data Scientist
158,70-85,United States,State Farm,Qualified applicants will understand how to combine the data science skillset with the entrepreneurial mindset to produce insightful data product....,Data Scientist
159,70-85,"San Antonio, TX",CGI," Experience with data modeling.  Bring transparency, understanding, and insight to complex healthcare data....",Data Scientist
160,70-85,"Melbourne, FL",Thales,"Data mining using state-of-the-art methods. Experience with data visualisation tools, such as D3.js, GGplot, etc....",Data Scientist
161,70-85,"Bellevue, WA",Microsoft,Experiences in build and maintaining data pipelines. We are looking for applied scientists who have following required experience:....,Data Scientist II
162,70-85,"Springfield, IL 62715",Horace Mann Service Corp,Under minimal supervision and utilizing established or innovative procedures the incumbent develops and present to management for their approval proposals,Data Scientist
163,70-85,"Norwalk, CT",Reed Exhibitions,Conducting advanced data analysis with demonstrated improvement of business. Various sources of data and use advanced analytical techniques to identify....,Associate Statistical Modeler
164,70-85,"Springfield, VA","Ferring Pharmaceuticals, Inc.",Plans data collection; Data collection and methodologies. Adjusts and weighs raw data; And interprets a wide variety of data....,Data Scientist
165,70-85,"Irvine, CA",Appriss,"Access and manipulate data from various data sources such as Netezza, Hadoop, Greenplum, SQL Server, raw files, and SAS....",Data Scientist/Statistician
166,70-85,"Matawan, NJ",iCIMS,"Working closely with the data engineers and scientists, you will have the opportunity to build a strong foundation in translating data analysis into the...",iNSIGHTS Data Science Intern (Summer 2017)
167,70-85,"Wilmington, MA",CHARLES RIVER ENGLISH,"The Data Scientist will participate in strategic business initiatives by researching, analyzing and interpreting data;...",Intern - IT Data Scientist
168,70-85,United States,State Farm,Qualified applicants will understand how to combine the data science skillset with the entrepreneurial mindset to produce insightful data product....,Data Scientist
169,70-85,"San Antonio, TX",CGI," Experience with data modeling.  Bring transparency, understanding, and insight to complex healthcare data....",Data Scientist
170,70-85,"Melbourne, FL",Thales,"Data mining using state-of-the-art methods. Experience with data visualisation tools, such as D3.js, GGplot, etc....",Data Scientist
171,70-85,"Bellevue, WA",Microsoft,Experiences in build and maintaining data pipelines. We are looking for applied scientists who have following required experience:....,Data Scientist II
172,70-85,"Springfield, IL 62715",Horace Mann Service Corp,Under minimal supervision and utilizing established or innovative procedures the incumbent develops and present to management for their approval proposals,Data Scientist
173,70-85,"Norwalk, CT",Reed Exhibitions,Conducting advanced data analysis with demonstrated improvement of business. Various sources of data and use advanced analytical techniques to identify....,Associate Statistical Modeler
174,70-85,"Springfield, VA","Ferring Pharmaceuticals, Inc.",Plans data collection; Data collection and methodologies. Adjusts and weighs raw data; And interprets a wide variety of data....,Data Scientist
175,70-85,"Irvine, CA",Appriss,"Access and manipulate data from various data sources such as Netezza, Hadoop, Greenplum, SQL Server, raw files, and SAS....",Data Scientist/Statistician
176,70-85,"Matawan, NJ",iCIMS,"Working closely with the data engineers and scientists, you will have the opportunity to build a strong foundation in translating data analysis into the...",iNSIGHTS Data Science Intern (Summer 2017)
177,70-85,"Wilmington, MA",CHARLES RIVER ENGLISH,"The Data Scientist will participate in strategic business initiatives by researching, analyzing and interpreting data;...",Intern - IT Data Scientist
178,70-85,United States,State Farm,Qualified applicants will understand how to combine the data science skillset with the entrepreneurial mindset to produce insightful data product....,Data Scientist
179,70-85,"San Antonio, TX",CGI," Experience with data modeling.  Bring transparency, understanding, and insight to complex healthcare data....",Data Scientist
180,70-85,"Melbourne, FL",Thales,"Data mining using state-of-the-art methods. Experience with data visualisation tools, such as D3.js, GGplot, etc....",Data Scientist
181,70-85,"Bellevue, WA",Microsoft,Experiences in build and maintaining data pipelines. We are looking for applied scientists who have following required experience:....,Data Scientist II
182,70-85,"Springfield, IL 62715",Horace Mann Service Corp,Under minimal supervision and utilizing established or innovative procedures the incumbent develops and present to management for their approval proposals,Data Scientist
183,70-85,"Norwalk, CT",Reed Exhibitions,Conducting advanced data analysis with demonstrated improvement of business. Various sources of data and use advanced analytical techniques to identify....,Associate Statistical Modeler
184,70-85,"Springfield, VA","Ferring Pharmaceuticals, Inc.",Plans data collection; Data collection and methodologies. Adjusts and weighs raw data; And interprets a wide variety of data....,Data Scientist
185,70-85,"Irvine, CA",Appriss,"Access and manipulate data from various data sources such as Netezza, Hadoop, Greenplum, SQL Server, raw files, and SAS....",Data Scientist/Statistician
186,70-85,"Matawan, NJ",iCIMS,"Working closely with the data engineers and scientists, you will have the opportunity to build a strong foundation in translating data analysis into the...",iNSIGHTS Data Science Intern (Summer 2017)
187,70-85,"Wilmington, MA",CHARLES RIVER ENGLISH,"The Data Scientist will participate in strategic business initiatives by researching, analyzing and interpreting data;...",Intern - IT Data Scientist
188,70-85,United States,State Farm,Qualified applicants will understand how to combine the data science skillset with the entrepreneurial mindset to produce insightful data product....,Data Scientist
189,70-85,"San Antonio, TX",CGI," Experience with data modeling.  Bring transparency, understanding, and insight to complex healthcare data....",Data Scientist
190,70-85,"Melbourne, FL",Thales,"Data mining using state-of-the-art methods. Experience with data visualisation tools, such as D3.js, GGplot, etc....",Data Scientist
191,70-85,"Bellevue, WA",Microsoft,Experiences in build and maintaining data pipelines. We are looking for applied scientists who have following required experience:....,Data Scientist II
192,70-85,"Springfield, IL 62715",Horace Mann Service Corp,Under minimal supervision and utilizing established or innovative procedures the incumbent develops and present to management for their approval proposals,Data Scientist
193,70-85,"Norwalk, CT",Reed Exhibitions,Conducting advanced data analysis with demonstrated improvement of business. Various sources of data and use advanced analytical techniques to identify....,Associate Statistical Modeler
194,70-85,"Springfield, VA","Ferring Pharmaceuticals, Inc.",Plans data collection; Data collection and methodologies. Adjusts and weighs raw data; And interprets a wide variety of data....,Data Scientist
195,70-85,"Irvine, CA",Appriss,"Access and manipulate data from various data sources such as Netezza, Hadoop, Greenplum, SQL Server, raw files, and SAS....",Data Scientist/Statistician
196,70-85,"Matawan, NJ",iCIMS,"Working closely with the data engineers and scientists, you will have the opportunity to build a strong foundation in translating data analysis into the...",iNSIGHTS Data Science Intern (Summer 2017)
197,70-85,United States,State Farm,Qualified applicants will understand how to combine the data science skillset with the entrepreneurial mindset to produce insightful data product....,Data Scientist
198,70-85,"Wilmington, MA",CHARLES RIVER ENGLISH,"The Data Scientist will participate in strategic business initiatives by researching, analyzing and interpreting data;...",Intern - IT Data Scientist
199,70-85,"San Antonio, TX",CGI," Experience with data modeling.  Bring transparency, understanding, and insight to complex healthcare data....",Data Scientist
200,100-115,"Rochester, NY 14624",Paychex,"Explores and gathers external data, including both public and private sectors, to complement internal company data....",Data Scientist II
201,100-115,"Los Angeles, CA 90017",Uptown Treehouse,The Data Scientist will lead the charge in leveraging various data-driven technologies to deliver strategic insight and intelligence that can inform current and...,Data Science Internship
202,100-115,Hawaii,State of Hawaii,"And preparing summaries or reports with data presented in graphic, narrative or numerical form. Modifying and applying research and statistical methods and...",RESEARCH STATISTICIAN IV
203,100-115,"Somerset, NJ 08873",Incedo,"Knowledge of typical pharmaceutical data sources (physician-level prescribing, SFDC data etc.). You will analyze and evaluate large quantities of data in...",Data Scientist
204,100-115,Illinois,Intel,"This includes the LAN, WAN, telephony, data centers, client PCs, backup and restore, and enterprise applications. Job Code valid only for Israel....",Data Scientist
205,100-115,"New York, NY 10032 (Washington Heights area)",Morgan Stanley,Demonstrate the value potential of data through the application of core Data Science skills. Synthesize key strategic initiatives using data analysis....,"Data Scientist, Digital Strategy"
206,100-115,"Frederick, MD 21702",Leidos,The Biological Life Sciences Operation of the Health Group is seeking a Biomedical Data Scientist who will perform as a productive member of a team that...,Biomedical Data Scientist
207,100-115,"Miami, FL 33132 (Downtown area)",Royal Caribbean Cruises Ltd.,"In-depth experience in data mining, business intelligence, data analytics, and project management required....",Data Scientist
208,100-115,"Reston, VA","Apogee Integration, LLC","Apogee Integration is seeking a Data Scientist to work in Chantilly, VA:. Bachelor of Science in Mathematics, Statistics, or related field....",Jr Data Scientist
209,100-115,"Irvine, CA",BSI Financial Services,"Experience in data modeling, data mining, data cleansing, and statistical techniques. Working knowledge of data warehouse environments....",Data Scientist/Statistician
210,100-115,"Los Angeles, CA",StyleHaul,"We are looking for a Data Scientist to join the Business Intelligence division of StyleHaul. Apply your expertise in quantitative analysis, data mining, and the...",Data Scientist
211,100-115,"San Francisco, CA",Gameloft,"Job Description Responsibilities: As User Acquisition/Data Analysis Intern, reporting to the Sr User Acquisition Manager, you will focus on marketing actions",User Acquisition/Data Analysis
212,100-115,"Santa Clara, CA",CA Technologies,We are looking for a talented Data Scientist to join our team. Communicating with scientists as well as engineers....,Data Scientist
213,100-115,"Atlanta, GA",Macy's,"D efine data needs, evaluate data quality, and extract/manipulate data in a “Big Data” environment. The Data Scientist develops and executes statistical and...","Data Scientist (Neural Networks/Decision Tree, R, Python)"
214,100-115,"San Jose, CA",eBay,"Data Scientist Position with background in data science, machine learning and engineering to drive the science and technology for data driven products on eBay...",Data Scientist
215,100-115,United States,IBM Kenexa,"The Data Scientist with Data Implementation specialty is responsible for serving as a first line of triage for any customer-facing issues, and effectively...",Data Scientist Cognitive Computing
216,100-115,"Houston, TX",David Weekley Homes,Proven experience manipulating data sets and combining multiple data sources to produce valuable business insights....,Data Scientist
217,100-115,"Englewood, CO",DISH Network,"The Data Scientist role will entail gathering and interpreting business needs, architecting and executing production data science solutions, and managing data...",Data Scientist
218,100-115,"Melbourne, FL",Thales,"Data mining using state-of-the-art methods. Experience with data visualisation tools, such as D3.js, GGplot, etc....",Data Scientist
219,100-115,"Richfield, MN",U.S. Bank,"Experience in traditional data processing, data mining, and text mining methods. Perform adhoc data exploratory statistical services....",Data Scientist
220,100-115,"Los Angeles, CA",StyleHaul,"We are looking for a Data Scientist to join the Business Intelligence division of StyleHaul. Apply your expertise in quantitative analysis, data mining, and the...",Data Scientist
221,100-115,"San Francisco, CA",Gameloft,"Job Description Responsibilities: As User Acquisition/Data Analysis Intern, reporting to the Sr User Acquisition Manager, you will focus on marketing actions",User Acquisition/Data Analysis
222,100-115,"Santa Clara, CA",CA Technologies,We are looking for a talented Data Scientist to join our team. Communicating with scientists as well as engineers....,Data Scientist
223,100-115,"Atlanta, GA",Macy's,"D efine data needs, evaluate data quality, and extract/manipulate data in a “Big Data” environment. The Data Scientist develops and executes statistical and...","Data Scientist (Neural Networks/Decision Tree, R, Python)"
224,100-115,"San Jose, CA",eBay,"Data Scientist Position with background in data science, machine learning and engineering to drive the science and technology for data driven products on eBay...",Data Scientist
225,100-115,United States,IBM Kenexa,"The Data Scientist with Data Implementation specialty is responsible for serving as a first line of triage for any customer-facing issues, and effectively...",Data Scientist Cognitive Computing
226,100-115,"Houston, TX",David Weekley Homes,Proven experience manipulating data sets and combining multiple data sources to produce valuable business insights....,Data Scientist
227,100-115,"Englewood, CO",DISH Network,"The Data Scientist role will entail gathering and interpreting business needs, architecting and executing production data science solutions, and managing data...",Data Scientist
228,100-115,"Melbourne, FL",Thales,"Data mining using state-of-the-art methods. Experience with data visualisation tools, such as D3.js, GGplot, etc....",Data Scientist
229,100-115,"Richfield, MN",U.S. Bank,"Experience in traditional data processing, data mining, and text mining methods. Perform adhoc data exploratory statistical services....",Data Scientist
230,100-115,"Los Angeles, CA",StyleHaul,"We are looking for a Data Scientist to join the Business Intelligence division of StyleHaul. Apply your expertise in quantitative analysis, data mining, and the...",Data Scientist
231,100-115,"San Francisco, CA",Gameloft,"Job Description Responsibilities: As User Acquisition/Data Analysis Intern, reporting to the Sr User Acquisition Manager, you will focus on marketing actions",User Acquisition/Data Analysis
232,100-115,"Santa Clara, CA",CA Technologies,We are looking for a talented Data Scientist to join our team. Communicating with scientists as well as engineers....,Data Scientist
233,100-115,"Atlanta, GA",Macy's,"D efine data needs, evaluate data quality, and extract/manipulate data in a “Big Data” environment. The Data Scientist develops and executes statistical and...","Data Scientist (Neural Networks/Decision Tree, R, Python)"
234,100-115,"San Jose, CA",eBay,"Data Scientist Position with background in data science, machine learning and engineering to drive the science and technology for data driven products on eBay...",Data Scientist
235,100-115,United States,IBM Kenexa,"The Data Scientist with Data Implementation specialty is responsible for serving as a first line of triage for any customer-facing issues, and effectively...",Data Scientist Cognitive Computing
236,100-115,"Houston, TX",David Weekley Homes,Proven experience manipulating data sets and combining multiple data sources to produce valuable business insights....,Data Scientist
237,100-115,"Englewood, CO",DISH Network,"The Data Scientist role will entail gathering and interpreting business needs, architecting and executing production data science solutions, and managing data...",Data Scientist
238,100-115,"Melbourne, FL",Thales,"Data mining using state-of-the-art methods. Experience with data visualisation tools, such as D3.js, GGplot, etc....",Data Scientist
239,100-115,"Richfield, MN",U.S. Bank,"Experience in traditional data processing, data mining, and text mining methods. Perform adhoc data exploratory statistical services....",Data Scientist
240,100-115,"Los Angeles, CA",StyleHaul,"We are looking for a Data Scientist to join the Business Intelligence division of StyleHaul. Apply your expertise in quantitative analysis, data mining, and the...",Data Scientist
241,100-115,"San Francisco, CA",Gameloft,"Job Description Responsibilities: As User Acquisition/Data Analysis Intern, reporting to the Sr User Acquisition Manager, you will focus on marketing actions",User Acquisition/Data Analysis
242,100-115,"Santa Clara, CA",CA Technologies,We are looking for a talented Data Scientist to join our team. Communicating with scientists as well as engineers....,Data Scientist
243,100-115,"Atlanta, GA",Macy's,"D efine data needs, evaluate data quality, and extract/manipulate data in a “Big Data” environment. The Data Scientist develops and executes statistical and...","Data Scientist (Neural Networks/Decision Tree, R, Python)"
244,100-115,"San Jose, CA",eBay,"Data Scientist Position with background in data science, machine learning and engineering to drive the science and technology for data driven products on eBay...",Data Scientist
245,100-115,United States,IBM Kenexa,"The Data Scientist with Data Implementation specialty is responsible for serving as a first line of triage for any customer-facing issues, and effectively...",Data Scientist Cognitive Computing
246,100-115,"Houston, TX",David Weekley Homes,Proven experience manipulating data sets and combining multiple data sources to produce valuable business insights....,Data Scientist
247,100-115,"Englewood, CO",DISH Network,"The Data Scientist role will entail gathering and interpreting business needs, architecting and executing production data science solutions, and managing data...",Data Scientist
248,100-115,"Melbourne, FL",Thales,"Data mining using state-of-the-art methods. Experience with data visualisation tools, such as D3.js, GGplot, etc....",Data Scientist
249,100-115,"Richfield, MN",U.S. Bank,"Experience in traditional data processing, data mining, and text mining methods. Perform adhoc data exploratory statistical services....",Data Scientist
250,100-115,"Los Angeles, CA",StyleHaul,"We are looking for a Data Scientist to join the Business Intelligence division of StyleHaul. Apply your expertise in quantitative analysis, data mining, and the...",Data Scientist
251,100-115,"San Francisco, CA",Gameloft,"Job Description Responsibilities: As User Acquisition/Data Analysis Intern, reporting to the Sr User Acquisition Manager, you will focus on marketing actions",User Acquisition/Data Analysis
252,100-115,"Santa Clara, CA",CA Technologies,We are looking for a talented Data Scientist to join our team. Communicating with scientists as well as engineers....,Data Scientist
253,100-115,"Atlanta, GA",Macy's,"D efine data needs, evaluate data quality, and extract/manipulate data in a “Big Data” environment. The Data Scientist develops and executes statistical and...","Data Scientist (Neural Networks/Decision Tree, R, Python)"
254,100-115,"San Jose, CA",eBay,"Data Scientist Position with background in data science, machine learning and engineering to drive the science and technology for data driven products on eBay...",Data Scientist
255,100-115,United States,IBM Kenexa,"The Data Scientist with Data Implementation specialty is responsible for serving as a first line of triage for any customer-facing issues, and effectively...",Data Scientist Cognitive Computing
256,100-115,"Houston, TX",David Weekley Homes,Proven experience manipulating data sets and combining multiple data sources to produce valuable business insights....,Data Scientist
257,100-115,"Englewood, CO",DISH Network,"The Data Scientist role will entail gathering and interpreting business needs, architecting and executing production data science solutions, and managing data...",Data Scientist
258,100-115,"Melbourne, FL",Thales,"Data mining using state-of-the-art methods. Experience with data visualisation tools, such as D3.js, GGplot, etc....",Data Scientist
259,100-115,"Richfield, MN",U.S. Bank,"Experience in traditional data processing, data mining, and text mining methods. Perform adhoc data exploratory statistical services....",Data Scientist
260,100-115,"Los Angeles, CA",StyleHaul,"We are looking for a Data Scientist to join the Business Intelligence division of StyleHaul. Apply your expertise in quantitative analysis, data mining, and the...",Data Scientist
261,100-115,"San Francisco, CA",Gameloft,"Job Description Responsibilities: As User Acquisition/Data Analysis Intern, reporting to the Sr User Acquisition Manager, you will focus on marketing actions",User Acquisition/Data Analysis
262,100-115,"Santa Clara, CA",CA Technologies,We are looking for a talented Data Scientist to join our team. Communicating with scientists as well as engineers....,Data Scientist
263,100-115,"Atlanta, GA",Macy's,"D efine data needs, evaluate data quality, and extract/manipulate data in a “Big Data” environment. The Data Scientist develops and executes statistical and...","Data Scientist (Neural Networks/Decision Tree, R, Python)"
264,100-115,"San Jose, CA",eBay,"Data Scientist Position with background in data science, machine learning and engineering to drive the science and technology for data driven products on eBay...",Data Scientist
265,100-115,United States,IBM Kenexa,"The Data Scientist with Data Implementation specialty is responsible for serving as a first line of triage for any customer-facing issues, and effectively...",Data Scientist Cognitive Computing
266,100-115,"Houston, TX",David Weekley Homes,Proven experience manipulating data sets and combining multiple data sources to produce valuable business insights....,Data Scientist
267,100-115,"Englewood, CO",DISH Network,"The Data Scientist role will entail gathering and interpreting business needs, architecting and executing production data science solutions, and managing data...",Data Scientist
268,100-115,"Melbourne, FL",Thales,"Data mining using state-of-the-art methods. Experience with data visualisation tools, such as D3.js, GGplot, etc....",Data Scientist
269,100-115,"Richfield, MN",U.S. Bank,"Experience in traditional data processing, data mining, and text mining methods. Perform adhoc data exploratory statistical services....",Data Scientist
