,bin,city,company,summary,title
270,100-115,"Los Angeles, CA",StyleHaul,"We are looking for a Data Scientist to join the Business Intelligence division of StyleHaul. Apply your expertise in quantitative analysis, data mining, and the...",Data Scientist
271,100-115,"San Francisco, CA",Gameloft,"Job Description Responsibilities: As User Acquisition/Data Analysis Intern, reporting to the Sr User Acquisition Manager, you will focus on marketing actions",User Acquisition/Data Analysis
272,100-115,"Santa Clara, CA",CA Technologies,We are looking for a talented Data Scientist to join our team. Communicating with scientists as well as engineers....,Data Scientist
273,100-115,"Atlanta, GA",Macy's,"D efine data needs, evaluate data quality, and extract/manipulate data in a “Big Data” environment. The Data Scientist develops and executes statistical and...","Data Scientist (Neural Networks/Decision Tree, R, Python)"
274,100-115,"San Jose, CA",eBay,"Data Scientist Position with background in data science, machine learning and engineering to drive the science and technology for data driven products on eBay...",Data Scientist
275,100-115,United States,IBM Kenexa,"The Data Scientist with Data Implementation specialty is responsible for serving as a first line of triage for any customer-facing issues, and effectively...",Data Scientist Cognitive Computing
276,100-115,"Houston, TX",David Weekley Homes,Proven experience manipulating data sets and combining multiple data sources to produce valuable business insights....,Data Scientist
277,100-115,"Englewood, CO",DISH Network,"The Data Scientist role will entail gathering and interpreting business needs, architecting and executing production data science solutions, and managing data...",Data Scientist
278,100-115,"Melbourne, FL",Thales,"Data mining using state-of-the-art methods. Experience with data visualisation tools, such as D3.js, GGplot, etc....",Data Scientist
279,100-115,"Richfield, MN",U.S. Bank,"Experience in traditional data processing, data mining, and text mining methods. Perform adhoc data exploratory statistical services....",Data Scientist
280,100-115,"Los Angeles, CA",StyleHaul,"We are looking for a Data Scientist to join the Business Intelligence division of StyleHaul. Apply your expertise in quantitative analysis, data mining, and the...",Data Scientist
281,100-115,"San Francisco, CA",Gameloft,"Job Description Responsibilities: As User Acquisition/Data Analysis Intern, reporting to the Sr User Acquisition Manager, you will focus on marketing actions",User Acquisition/Data Analysis
282,100-115,"Santa Clara, CA",CA Technologies,We are looking for a talented Data Scientist to join our team. Communicating with scientists as well as engineers....,Data Scientist
283,100-115,"Atlanta, GA",Macy's,"D efine data needs, evaluate data quality, and extract/manipulate data in a “Big Data” environment. The Data Scientist develops and executes statistical and...","Data Scientist (Neural Networks/Decision Tree, R, Python)"
284,100-115,"San Jose, CA",eBay,"Data Scientist Position with background in data science, machine learning and engineering to drive the science and technology for data driven products on eBay...",Data Scientist
285,100-115,United States,IBM Kenexa,"The Data Scientist with Data Implementation specialty is responsible for serving as a first line of triage for any customer-facing issues, and effectively...",Data Scientist Cognitive Computing
286,100-115,"Houston, TX",David Weekley Homes,Proven experience manipulating data sets and combining multiple data sources to produce valuable business insights....,Data Scientist
287,100-115,"Englewood, CO",DISH Network,"The Data Scientist role will entail gathering and interpreting business needs, architecting and executing production data science solutions, and managing data...",Data Scientist
288,100-115,"Melbourne, FL",Thales,"Data mining using state-of-the-art methods. Experience with data visualisation tools, such as D3.js, GGplot, etc....",Data Scientist
289,100-115,"Richfield, MN",U.S. Bank,"Experience in traditional data processing, data mining, and text mining methods. Perform adhoc data exploratory statistical services....",Data Scientist
290,100-115,"Los Angeles, CA",StyleHaul,"We are looking for a Data Scientist to join the Business Intelligence division of StyleHaul. Apply your expertise in quantitative analysis, data mining, and the...",Data Scientist
291,100-115,"San Francisco, CA",Gameloft,"Job Description Responsibilities: As User Acquisition/Data Analysis Intern, reporting to the Sr User Acquisition Manager, you will focus on marketing actions",User Acquisition/Data Analysis
292,100-115,"Santa Clara, CA",CA Technologies,We are looking for a talented Data Scientist to join our team. Communicating with scientists as well as engineers....,Data Scientist
293,100-115,"Atlanta, GA",Macy's,"D efine data needs, evaluate data quality, and extract/manipulate data in a “Big Data” environment. The Data Scientist develops and executes statistical and...","Data Scientist (Neural Networks/Decision Tree, R, Python)"
294,100-115,"San Jose, CA",eBay,"Data Scientist Position with background in data science, machine learning and engineering to drive the science and technology for data driven products on eBay...",Data Scientist
295,100-115,United States,IBM Kenexa,"The Data Scientist with Data Implementation specialty is responsible for serving as a first line of triage for any customer-facing issues, and effectively...",Data Scientist Cognitive Computing
296,100-115,"Houston, TX",David Weekley Homes,Proven experience manipulating data sets and combining multiple data sources to produce valuable business insights....,Data Scientist
297,100-115,"Englewood, CO",DISH Network,"The Data Scientist role will entail gathering and interpreting business needs, architecting and executing production data science solutions, and managing data...",Data Scientist
298,100-115,"Melbourne, FL",Thales,"Data mining using state-of-the-art methods. Experience with data visualisation tools, such as D3.js, GGplot, etc....",Data Scientist
299,100-115,"Richfield, MN",U.S. Bank,"Experience in traditional data processing, data mining, and text mining methods. Perform adhoc data exploratory statistical services....",Data Scientist
300,55-70,Hawaii,State of Hawaii,"And preparing summaries or reports with data presented in graphic, narrative or numerical form. Modifying and applying research and statistical methods and...",RESEARCH STATISTICIAN IV
301,55-70,Illinois,Intel,"This includes the LAN, WAN, telephony, data centers, client PCs, backup and restore, and enterprise applications. Job Code valid only for Israel....",Data Scientist
302,55-70,"Frederick, MD 21702",Leidos,The Biological Life Sciences Operation of the Health Group is seeking a Biomedical Data Scientist who will perform as a productive member of a team that...,Biomedical Data Scientist
303,55-70,"South San Francisco, CA 94080",Incedo,Statistics and Data Science knowledge. Must needed exo in below skills and technology:....,Data Scientist
304,55-70,"San Francisco, CA",Gameloft,"Job Description Responsibilities: As User Acquisition/Data Analysis Intern, reporting to the Sr User Acquisition Manager, you will focus on marketing actions",User Acquisition/Data Analysis
305,55-70,"Bellevue, WA",Microsoft,Experiences in build and maintaining data pipelines. We are looking for applied scientists who have following required experience:....,Data Scientist II
306,55-70,"Springfield, IL 62715",Horace Mann Service Corp,Under minimal supervision and utilizing established or innovative procedures the incumbent develops and present to management for their approval proposals,Data Scientist
307,55-70,"Springfield, VA","Ferring Pharmaceuticals, Inc.",Plans data collection; Data collection and methodologies. Adjusts and weighs raw data; And interprets a wide variety of data....,Data Scientist
308,55-70,"Irvine, CA",Appriss,"Access and manipulate data from various data sources such as Netezza, Hadoop, Greenplum, SQL Server, raw files, and SAS....",Data Scientist/Statistician
309,55-70,"Wilmington, MA",CHARLES RIVER ENGLISH,"The Data Scientist will participate in strategic business initiatives by researching, analyzing and interpreting data;...",Intern - IT Data Scientist
310,55-70,"Orlando, FL",Ripley's Entertainment,"The ideal candidate must be passionate about analyzing data and models, and curious about incorporating new technology and data sources to improve the accuracy...",Data Scientist/Statistical Analyst
311,55-70,Virginia,KEYW Corporation,Uses advanced technical software to manage spatial and relatedtabular data. Analyzes image data using advanced technical image processing software....,Data Scientist
312,55-70,"Washington, DC",EPA,The participant will be trained to design data analyses that link usage of DWSRF funds to public health improvements....,Drinking Water State Revolving Fund Data Analysis
313,55-70,"New York, NY",2U,"Under the guidance of the Director of Data Science, the Data Scientist will lead advanced analytical research and development....",Data Scientist
314,55-70,"El Segundo, CA 90245",Wpromote,"Identifying, Analyzing, and interpreting trends/patterns in complex data sets. Establishing the Customer lifetime value through analyzation of client data....",Data Scientist
315,55-70,"Albany, NY",Health Research Incorporated,"Working with senior staff members, the incumbent will conduct statistical analyses of both human and vector data, interpret the findings, and assist with the...",Research Scientist I
316,55-70,"Blacksburg, VA",Virginia Tech,"The (Senior) Health Data Scientist will be expected to assist in the development of grant proposals and publications, and presenting findings at scientific...",Health Data Scientist
317,55-70,"Springfield, VA","ALEX - Alternative Experts, LLC",3-6 years of experience as a Data Scientist. Using data mining for structured and unstructured information to join and explore relationships in disparate data...,Data Scientist II
318,55-70,"Plymouth, MI",AVL LIST,"Merge data sources; Technical expertise regarding data models, database design development, data mining and segmentation techniques....",Data Scientist (1872)
319,55-70,"Hillsboro, OR 97124",Intel,Job Description Responsibilities may be quite diverse of a software technical nature. Experience and education requirements will vary significantly depending,2017 Venture Grad Machine Learning Intern
320,55-70,"Orlando, FL",Ripley's Entertainment,"The ideal candidate must be passionate about analyzing data and models, and curious about incorporating new technology and data sources to improve the accuracy...",Data Scientist/Statistical Analyst
321,55-70,Virginia,KEYW Corporation,Uses advanced technical software to manage spatial and relatedtabular data. Analyzes image data using advanced technical image processing software....,Data Scientist
322,55-70,"Washington, DC",EPA,The participant will be trained to design data analyses that link usage of DWSRF funds to public health improvements....,Drinking Water State Revolving Fund Data Analysis
323,55-70,"New York, NY",2U,"Under the guidance of the Director of Data Science, the Data Scientist will lead advanced analytical research and development....",Data Scientist
324,55-70,"El Segundo, CA 90245",Wpromote,"Identifying, Analyzing, and interpreting trends/patterns in complex data sets. Establishing the Customer lifetime value through analyzation of client data....",Data Scientist
325,55-70,"Albany, NY",Health Research Incorporated,"Working with senior staff members, the incumbent will conduct statistical analyses of both human and vector data, interpret the findings, and assist with the...",Research Scientist I
326,55-70,"Blacksburg, VA",Virginia Tech,"The (Senior) Health Data Scientist will be expected to assist in the development of grant proposals and publications, and presenting findings at scientific...",Health Data Scientist
327,55-70,"Springfield, VA","ALEX - Alternative Experts, LLC",3-6 years of experience as a Data Scientist. Using data mining for structured and unstructured information to join and explore relationships in disparate data...,Data Scientist II
328,55-70,"Plymouth, MI",AVL LIST,"Merge data sources; Technical expertise regarding data models, database design development, data mining and segmentation techniques....",Data Scientist (1872)
329,55-70,"Hillsboro, OR 97124",Intel,Job Description Responsibilities may be quite diverse of a software technical nature. Experience and education requirements will vary significantly depending,2017 Venture Grad Machine Learning Intern
330,55-70,"Orlando, FL",Ripley's Entertainment,"The ideal candidate must be passionate about analyzing data and models, and curious about incorporating new technology and data sources to improve the accuracy...",Data Scientist/Statistical Analyst
331,55-70,Virginia,KEYW Corporation,Uses advanced technical software to manage spatial and relatedtabular data. Analyzes image data using advanced technical image processing software....,Data Scientist
332,55-70,"Washington, DC",EPA,The participant will be trained to design data analyses that link usage of DWSRF funds to public health improvements....,Drinking Water State Revolving Fund Data Analysis
333,55-70,"New York, NY",2U,"Under the guidance of the Director of Data Science, the Data Scientist will lead advanced analytical research and development....",Data Scientist
334,55-70,"El Segundo, CA 90245",Wpromote,"Identifying, Analyzing, and interpreting trends/patterns in complex data sets. Establishing the Customer lifetime value through analyzation of client data....",Data Scientist
335,55-70,"Albany, NY",Health Research Incorporated,"Working with senior staff members, the incumbent will conduct statistical analyses of both human and vector data, interpret the findings, and assist with the...",Research Scientist I
336,55-70,"Blacksburg, VA",Virginia Tech,"The (Senior) Health Data Scientist will be expected to assist in the development of grant proposals and publications, and presenting findings at scientific...",Health Data Scientist
337,55-70,"Springfield, VA","ALEX - Alternative Experts, LLC",3-6 years of experience as a Data Scientist. Using data mining for structured and unstructured information to join and explore relationships in disparate data...,Data Scientist II
338,55-70,"Plymouth, MI",AVL LIST,"Merge data sources; Technical expertise regarding data models, database design development, data mining and segmentation techniques....",Data Scientist (1872)
339,55-70,"Hillsboro, OR 97124",Intel,Job Description Responsibilities may be quite diverse of a software technical nature. Experience and education requirements will vary significantly depending,2017 Venture Grad Machine Learning Intern
340,55-70,"Orlando, FL",Ripley's Entertainment,"The ideal candidate must be passionate about analyzing data and models, and curious about incorporating new technology and data sources to improve the accuracy...",Data Scientist/Statistical Analyst
341,55-70,Virginia,KEYW Corporation,Uses advanced technical software to manage spatial and relatedtabular data. Analyzes image data using advanced technical image processing software....,Data Scientist
342,55-70,"Washington, DC",EPA,The participant will be trained to design data analyses that link usage of DWSRF funds to public health improvements....,Drinking Water State Revolving Fund Data Analysis
343,55-70,"New York, NY",2U,"Under the guidance of the Director of Data Science, the Data Scientist will lead advanced analytical research and development....",Data Scientist
344,55-70,"El Segundo, CA 90245",Wpromote,"Identifying, Analyzing, and interpreting trends/patterns in complex data sets. Establishing the Customer lifetime value through analyzation of client data....",Data Scientist
345,55-70,"Albany, NY",Health Research Incorporated,"Working with senior staff members, the incumbent will conduct statistical analyses of both human and vector data, interpret the findings, and assist with the...",Research Scientist I
346,55-70,"Blacksburg, VA",Virginia Tech,"The (Senior) Health Data Scientist will be expected to assist in the development of grant proposals and publications, and presenting findings at scientific...",Health Data Scientist
347,55-70,"Springfield, VA","ALEX - Alternative Experts, LLC",3-6 years of experience as a Data Scientist. Using data mining for structured and unstructured information to join and explore relationships in disparate data...,Data Scientist II
348,55-70,"Plymouth, MI",AVL LIST,"Merge data sources; Technical expertise regarding data models, database design development, data mining and segmentation techniques....",Data Scientist (1872)
349,55-70,"Hillsboro, OR 97124",Intel,Job Description Responsibilities may be quite diverse of a software technical nature. Experience and education requirements will vary significantly depending,2017 Venture Grad Machine Learning Intern
350,55-70,"Orlando, FL",Ripley's Entertainment,"The ideal candidate must be passionate about analyzing data and models, and curious about incorporating new technology and data sources to improve the accuracy...",Data Scientist/Statistical Analyst
351,55-70,Virginia,KEYW Corporation,Uses advanced technical software to manage spatial and relatedtabular data. Analyzes image data using advanced technical image processing software....,Data Scientist
352,55-70,"Washington, DC",EPA,The participant will be trained to design data analyses that link usage of DWSRF funds to public health improvements....,Drinking Water State Revolving Fund Data Analysis
353,55-70,"New York, NY",2U,"Under the guidance of the Director of Data Science, the Data Scientist will lead advanced analytical research and development....",Data Scientist
354,55-70,"El Segundo, CA 90245",Wpromote,"Identifying, Analyzing, and interpreting trends/patterns in complex data sets. Establishing the Customer lifetime value through analyzation of client data....",Data Scientist
355,55-70,"Albany, NY",Health Research Incorporated,"Working with senior staff members, the incumbent will conduct statistical analyses of both human and vector data, interpret the findings, and assist with the...",Research Scientist I
356,55-70,"Blacksburg, VA",Virginia Tech,"The (Senior) Health Data Scientist will be expected to assist in the development of grant proposals and publications, and presenting findings at scientific...",Health Data Scientist
357,55-70,"Springfield, VA","ALEX - Alternative Experts, LLC",3-6 years of experience as a Data Scientist. Using data mining for structured and unstructured information to join and explore relationships in disparate data...,Data Scientist II
358,55-70,"Plymouth, MI",AVL LIST,"Merge data sources; Technical expertise regarding data models, database design development, data mining and segmentation techniques....",Data Scientist (1872)
359,55-70,"Hillsboro, OR 97124",Intel,Job Description Responsibilities may be quite diverse of a software technical nature. Experience and education requirements will vary significantly depending,2017 Venture Grad Machine Learning Intern
360,55-70,"Orlando, FL",Ripley's Entertainment,"The ideal candidate must be passionate about analyzing data and models, and curious about incorporating new technology and data sources to improve the accuracy...",Data Scientist/Statistical Analyst
361,55-70,Virginia,KEYW Corporation,Uses advanced technical software to manage spatial and relatedtabular data. Analyzes image data using advanced technical image processing software....,Data Scientist
362,55-70,"Washington, DC",EPA,The participant will be trained to design data analyses that link usage of DWSRF funds to public health improvements....,Drinking Water State Revolving Fund Data Analysis
363,55-70,"New York, NY",2U,"Under the guidance of the Director of Data Science, the Data Scientist will lead advanced analytical research and development....",Data Scientist
364,55-70,"El Segundo, CA 90245",Wpromote,"Identifying, Analyzing, and interpreting trends/patterns in complex data sets. Establishing the Customer lifetime value through analyzation of client data....",Data Scientist
365,55-70,"Albany, NY",Health Research Incorporated,"Working with senior staff members, the incumbent will conduct statistical analyses of both human and vector data, interpret the findings, and assist with the...",Research Scientist I
366,55-70,"Blacksburg, VA",Virginia Tech,"The (Senior) Health Data Scientist will be expected to assist in the development of grant proposals and publications, and presenting findings at scientific...",Health Data Scientist
367,55-70,"Springfield, VA","ALEX - Alternative Experts, LLC",3-6 years of experience as a Data Scientist. Using data mining for structured and unstructured information to join and explore relationships in disparate data...,Data Scientist II
368,55-70,"Plymouth, MI",AVL LIST,"Merge data sources; Technical expertise regarding data models, database design development, data mining and segmentation techniques....",Data Scientist (1872)
369,55-70,"Hillsboro, OR 97124",Intel,Job Description Responsibilities may be quite diverse of a software technical nature. Experience and education requirements will vary significantly depending,2017 Venture Grad Machine Learning Intern
370,55-70,"Orlando, FL",Ripley's Entertainment,"The ideal candidate must be passionate about analyzing data and models, and curious about incorporating new technology and data sources to improve the accuracy...",Data Scientist/Statistical Analyst
371,55-70,Virginia,KEYW Corporation,Uses advanced technical software to manage spatial and relatedtabular data. Analyzes image data using advanced technical image processing software....,Data Scientist
372,55-70,"Washington, DC",EPA,The participant will be trained to design data analyses that link usage of DWSRF funds to public health improvements....,Drinking Water State Revolving Fund Data Analysis
373,55-70,"New York, NY",2U,"Under the guidance of the Director of Data Science, the Data Scientist will lead advanced analytical research and development....",Data Scientist
374,55-70,"El Segundo, CA 90245",Wpromote,"Identifying, Analyzing, and interpreting trends/patterns in complex data sets. Establishing the Customer lifetime value through analyzation of client data....",Data Scientist
375,55-70,"Albany, NY",Health Research Incorporated,"Working with senior staff members, the incumbent will conduct statistical analyses of both human and vector data, interpret the findings, and assist with the...",Research Scientist I
376,55-70,"Blacksburg, VA",Virginia Tech,"The (Senior) Health Data Scientist will be expected to assist in the development of grant proposals and publications, and presenting findings at scientific...",Health Data Scientist
377,55-70,"Springfield, VA","ALEX - Alternative Experts, LLC",3-6 years of experience as a Data Scientist. Using data mining for structured and unstructured information to join and explore relationships in disparate data...,Data Scientist II
378,55-70,"Plymouth, MI",AVL LIST,"Merge data sources; Technical expertise regarding data models, database design development, data mining and segmentation techniques....",Data Scientist (1872)
379,55-70,"Hillsboro, OR 97124",Intel,Job Description Responsibilities may be quite diverse of a software technical nature. Experience and education requirements will vary significantly depending,2017 Venture Grad Machine Learning Intern
380,55-70,"Orlando, FL",Ripley's Entertainment,"The ideal candidate must be passionate about analyzing data and models, and curious about incorporating new technology and data sources to improve the accuracy...",Data Scientist/Statistical Analyst
381,55-70,Virginia,KEYW Corporation,Uses advanced technical software to manage spatial and relatedtabular data. Analyzes image data using advanced technical image processing software....,Data Scientist
382,55-70,"Washington, DC",EPA,The participant will be trained to design data analyses that link usage of DWSRF funds to public health improvements....,Drinking Water State Revolving Fund Data Analysis
383,55-70,"New York, NY",2U,"Under the guidance of the Director of Data Science, the Data Scientist will lead advanced analytical research and development....",Data Scientist
384,55-70,"El Segundo, CA 90245",Wpromote,"Identifying, Analyzing, and interpreting trends/patterns in complex data sets. Establishing the Customer lifetime value through analyzation of client data....",Data Scientist
385,55-70,"Albany, NY",Health Research Incorporated,"Working with senior staff members, the incumbent will conduct statistical analyses of both human and vector data, interpret the findings, and assist with the...",Research Scientist I
386,55-70,"Blacksburg, VA",Virginia Tech,"The (Senior) Health Data Scientist will be expected to assist in the development of grant proposals and publications, and presenting findings at scientific...",Health Data Scientist
387,55-70,"Springfield, VA","ALEX - Alternative Experts, LLC",3-6 years of experience as a Data Scientist. Using data mining for structured and unstructured information to join and explore relationships in disparate data...,Data Scientist II
388,55-70,"Plymouth, MI",AVL LIST,"Merge data sources; Technical expertise regarding data models, database design development, data mining and segmentation techniques....",Data Scientist (1872)
389,55-70,"Hillsboro, OR 97124",Intel,Job Description Responsibilities may be quite diverse of a software technical nature. Experience and education requirements will vary significantly depending,2017 Venture Grad Machine Learning Intern
390,55-70,"Orlando, FL",Ripley's Entertainment,"The ideal candidate must be passionate about analyzing data and models, and curious about incorporating new technology and data sources to improve the accuracy...",Data Scientist/Statistical Analyst
391,55-70,Virginia,KEYW Corporation,Uses advanced technical software to manage spatial and relatedtabular data. Analyzes image data using advanced technical image processing software....,Data Scientist
392,55-70,"Washington, DC",EPA,The participant will be trained to design data analyses that link usage of DWSRF funds to public health improvements....,Drinking Water State Revolving Fund Data Analysis
393,55-70,"New York, NY",2U,"Under the guidance of the Director of Data Science, the Data Scientist will lead advanced analytical research and development....",Data Scientist
394,55-70,"El Segundo, CA 90245",Wpromote,"Identifying, Analyzing, and interpreting trends/patterns in complex data sets. Establishing the Customer lifetime value through analyzation of client data....",Data Scientist
395,55-70,"Albany, NY",Health Research Incorporated,"Working with senior staff members, the incumbent will conduct statistical analyses of both human and vector data, interpret the findings, and assist with the...",Research Scientist I
396,55-70,"Blacksburg, VA",Virginia Tech,"The (Senior) Health Data Scientist will be expected to assist in the development of grant proposals and publications, and presenting findings at scientific...",Health Data Scientist
397,55-70,"Springfield, VA","ALEX - Alternative Experts, LLC",3-6 years of experience as a Data Scientist. Using data mining for structured and unstructured information to join and explore relationships in disparate data...,Data Scientist II
398,55-70,"Plymouth, MI",AVL LIST,"Merge data sources; Technical expertise regarding data models, database design development, data mining and segmentation techniques....",Data Scientist (1872)
399,55-70,"Hillsboro, OR 97124",Intel,Job Description Responsibilities may be quite diverse of a software technical nature. Experience and education requirements will vary significantly depending,2017 Venture Grad Machine Learning Intern
